2026-04-19T04:58:33.080881+00:00 | Whats My Name (Clean) | Rihanna Ft Drake | source:amperwave-api
2026-04-19T04:59:09.654022+00:00 | Whats My Name (Clean) | Rihanna Ft Drake | source:amperwave-api
2026-04-19T04:59:45.848092+00:00 | Whats My Name (Clean) | Rihanna Ft Drake | source:amperwave-api
2026-04-19T05:00:36.650182+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T05:01:12.132777+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T05:01:46.860569+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T05:02:21.734045+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T05:02:57.005266+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T05:03:32.226706+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T05:04:07.644317+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-19T05:04:44.648072+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-19T05:05:19.645152+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-19T05:05:54.545943+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-19T05:06:29.190634+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-19T05:07:03.990658+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-19T05:07:38.697229+00:00 | Gorgeous | Doja Cat | source:amperwave-api
2026-04-19T05:08:13.613027+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T05:08:49.385953+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T05:09:36.904151+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T05:10:12.785272+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
