2026-04-12T20:03:38.181088+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T20:04:13.387995+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T20:04:48.158914+00:00 | So Easy (To Fall In Love) | Olivia Dean | source:amperwave-api
2026-04-12T20:05:23.304657+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:05:58.387983+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:06:33.185906+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:07:08.181122+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:07:42.997291+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-12T20:08:18.018389+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:08:53.138466+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:09:32.806529+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:10:09.408810+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:11:09.319026+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:11:49.600743+00:00 | Clarity (Feat. Foxes) | Zedd | source:amperwave-api
2026-04-12T20:12:54.347112+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T20:13:31.009289+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T20:14:31.467393+00:00 | Daisies | Justin Bieber | source:amperwave-api
2026-04-12T20:15:06.433807+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:15:42.725400+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:16:19.425166+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:16:55.828710+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:17:52.336122+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:18:27.609014+00:00 | Agora Hills | Doja Cat | source:amperwave-api
2026-04-12T20:19:03.025577+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:19:38.924955+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:20:16.548164+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:20:51.553872+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:21:26.489867+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:22:01.935250+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:22:37.094395+00:00 | Die With A Smile | Lady Gaga And Bruno Mars | source:amperwave-api
2026-04-12T20:23:12.151992+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:23:47.243791+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:24:22.324920+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:24:57.115755+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:25:32.418793+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:26:08.077990+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:27:05.660107+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:27:40.967991+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:28:42.033497+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:29:17.480563+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:29:52.505892+00:00 | Sandm | Rihanna | source:amperwave-api
2026-04-12T20:30:27.639266+00:00 | Sandm | Rihanna | source:amperwave-api
