2026-04-17T05:48:27.786209+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T05:49:15.390780+00:00 | Lush Life | Zara Larsson | source:amperwave-api
2026-04-17T05:49:55.830935+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T05:50:45.648644+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T05:51:27.519318+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T05:52:07.844553+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T05:52:48.772005+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-17T05:53:29.265620+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T05:54:11.439423+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T05:54:56.562909+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T05:55:37.360734+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-17T05:56:17.653080+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T05:56:57.878700+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T05:57:36.750085+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T05:58:17.749362+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T05:58:58.633239+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T05:59:39.629565+00:00 | Kiss Me More | Doja Cat Feat. Sza | source:amperwave-api
2026-04-17T06:01:16.700967+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T06:01:59.214242+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T06:02:43.125334+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T06:03:26.058329+00:00 | Unwritten | Natasha Bedingfield | source:amperwave-api
2026-04-17T06:04:09.918566+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T06:04:50.771422+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T06:05:33.581939+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-17T06:06:15.414746+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T06:06:59.813559+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T06:07:39.393081+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T06:08:20.652168+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T06:08:59.952019+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-17T06:09:41.422967+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T06:10:22.313190+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
2026-04-17T06:11:09.956815+00:00 | Espresso | Sabrina Carpenter | source:amperwave-api
