2026-04-19T16:19:31.262530+00:00 | This Is What You Came For (Feat. Rihanna) | Calvin Harris | source:amperwave-api
2026-04-19T16:20:17.530786+00:00 | This Is What You Came For (Feat. Rihanna) | Calvin Harris | source:amperwave-api
2026-04-19T16:21:01.602589+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T16:21:43.911582+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T16:22:26.709850+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T16:23:06.935431+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T16:23:51.699303+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T16:24:36.803820+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T16:25:31.686695+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T16:26:35.339818+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T16:27:16.707254+00:00 | Folded | Kehlani | source:amperwave-api
2026-04-19T16:27:57.564877+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T16:28:43.761184+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T16:29:32.303863+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T16:30:40.580259+00:00 | I Just Might | Bruno Mars | source:amperwave-api
2026-04-19T16:31:23.034592+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-19T16:32:09.281081+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-19T16:32:53.444115+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-19T16:33:35.227116+00:00 | Good 4 U | Olivia Rodrigo | source:amperwave-api
2026-04-19T16:34:18.810222+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-19T16:35:27.780879+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-19T16:36:07.385662+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-19T16:36:55.639312+00:00 | Mutt | Leon Thomas | source:amperwave-api
2026-04-19T16:37:36.575278+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T16:38:22.764304+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T16:39:04.370089+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T16:39:59.966780+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T16:40:40.708572+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T16:41:21.632657+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T16:42:03.381572+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T16:42:44.392453+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T16:43:25.550499+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T16:44:05.628569+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T16:44:46.731578+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T16:45:39.741681+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T16:46:19.816365+00:00 | Man I Need | Olivia Dean | source:amperwave-api
2026-04-19T16:47:02.630315+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T16:47:50.640225+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T16:48:31.667725+00:00 | When Did You Get Hot | Sabrina Carpenter | source:amperwave-api
2026-04-19T16:49:18.933214+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T16:50:07.129056+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T16:50:48.454102+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T16:52:05.030941+00:00 | The Fate Of Ophelia | Taylor Swift | source:amperwave-api
2026-04-19T16:52:51.119471+00:00 | Replay | Iyaz | source:amperwave-api
2026-04-19T16:53:32.223544+00:00 | Replay | Iyaz | source:amperwave-api
2026-04-19T16:54:18.811391+00:00 | Replay | Iyaz | source:amperwave-api
2026-04-19T16:54:59.570813+00:00 | Replay | Iyaz | source:amperwave-api
2026-04-19T16:55:41.258437+00:00 | Without Me | Halsey | source:amperwave-api
2026-04-19T16:56:42.603600+00:00 | Without Me | Halsey | source:amperwave-api
2026-04-19T16:57:22.530643+00:00 | Without Me | Halsey | source:amperwave-api
2026-04-19T16:58:02.806693+00:00 | Without Me | Halsey | source:amperwave-api
2026-04-19T16:58:43.094423+00:00 | Without Me | Halsey | source:amperwave-api
2026-04-19T16:59:24.573600+00:00 | Enemy | Imagine Dragons | source:amperwave-api
2026-04-19T17:00:04.812899+00:00 | Enemy | Imagine Dragons | source:amperwave-api
2026-04-19T17:00:46.592598+00:00 | Enemy | Imagine Dragons | source:amperwave-api
2026-04-19T17:01:27.242554+00:00 | Enemy | Imagine Dragons | source:amperwave-api
2026-04-19T17:02:10.015240+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-19T17:02:54.182040+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-19T17:03:37.702270+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-19T17:04:38.528589+00:00 | I Like You (A Happier Song) | Post Malone Ft Doja Cat | source:amperwave-api
2026-04-19T17:05:19.663116+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T17:06:11.768552+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T17:07:21.611636+00:00 | Where Is My Husband! | Raye | source:amperwave-api
2026-04-19T17:08:03.099676+00:00 | Where Is My Husband! | Raye | source:amperwave-api
