2026-04-19T05:58:28.116762+00:00 | Ice Cold Lakes | The Fray | source:amperwave-api
2026-04-19T05:59:02.809534+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-19T05:59:37.872405+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-19T06:00:13.980216+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-19T06:00:49.417045+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-19T06:01:24.115193+00:00 | Dancing With A Stranger | Sam Smith Ft. Normani | source:amperwave-api
2026-04-19T06:01:58.907968+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:02:33.751686+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:03:08.789766+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:03:44.023133+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:04:19.181978+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:04:54.492980+00:00 | Choosin Texas | Ella Langley | source:amperwave-api
2026-04-19T06:05:30.954563+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T06:06:37.971671+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T06:07:15.355729+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T06:07:50.484186+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T06:08:36.261940+00:00 | Beautiful Things | Benson Boone | source:amperwave-api
2026-04-19T06:09:12.014130+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T06:09:46.887533+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T06:10:38.812794+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T06:11:14.543076+00:00 | Golden | Huntr/X | source:amperwave-api
2026-04-19T06:11:49.785106+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T06:12:32.335648+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T06:13:07.791919+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T06:13:43.424194+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T06:14:24.990560+00:00 | Risk It All | Bruno Mars | source:amperwave-api
2026-04-19T06:14:59.748070+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-19T06:15:35.919446+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-19T06:16:15.352167+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-19T06:16:50.634228+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-19T06:17:26.658538+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-19T06:18:01.042845+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-19T06:18:35.867853+00:00 | Closer | Chainsmokers Feat. Halsey | source:amperwave-api
2026-04-19T06:19:11.041475+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:19:45.643974+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:20:20.227074+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:20:54.630095+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:21:29.689393+00:00 | Back To Friends | Sombr | source:amperwave-api
2026-04-19T06:22:03.802340+00:00 | Titanium | David Guetta Feat. Sia | source:amperwave-api
2026-04-19T06:22:38.373250+00:00 | Titanium | David Guetta Feat. Sia | source:amperwave-api
2026-04-19T06:23:13.135775+00:00 | Titanium | David Guetta Feat. Sia | source:amperwave-api
2026-04-19T06:23:48.674026+00:00 | Titanium | David Guetta Feat. Sia | source:amperwave-api
2026-04-19T06:24:32.945991+00:00 | Titanium | David Guetta Feat. Sia | source:amperwave-api
2026-04-19T06:25:07.562943+00:00 | Titanium | David Guetta Feat. Sia | source:amperwave-api
2026-04-19T06:25:48.241865+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T06:26:40.603650+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T06:27:32.435846+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T06:28:30.355340+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T06:29:05.937816+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T06:29:41.532287+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T06:30:32.538569+00:00 | Dracula Ft Jennie | Tame Impala | source:amperwave-api
2026-04-19T06:31:08.459129+00:00 | Sorry | Justin Bieber | source:amperwave-api
2026-04-19T06:31:43.170961+00:00 | Sorry | Justin Bieber | source:amperwave-api
2026-04-19T06:32:40.438059+00:00 | Sorry | Justin Bieber | source:amperwave-api
2026-04-19T06:33:16.753618+00:00 | Sorry | Justin Bieber | source:amperwave-api
2026-04-19T06:33:51.915319+00:00 | Sorry | Justin Bieber | source:amperwave-api
