2026-04-13T20:10:05.305508+00:00 | Levitating | Dua Lipa X Dababy | source:amperwave-api
2026-04-13T20:10:40.821352+00:00 | Levitating | Dua Lipa X Dababy | source:amperwave-api
2026-04-13T20:11:16.898466+00:00 | Levitating | Dua Lipa X Dababy | source:amperwave-api
2026-04-13T20:11:52.846925+00:00 | Levitating | Dua Lipa X Dababy | source:amperwave-api
2026-04-13T20:12:28.899483+00:00 | Levitating | Dua Lipa X Dababy | source:amperwave-api
2026-04-13T20:13:04.625283+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-13T20:13:40.397976+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-13T20:14:31.066329+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-13T20:15:06.001394+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-13T20:15:40.715237+00:00 | Paint The Town Red | Doja Cat | source:amperwave-api
2026-04-13T20:16:20.093496+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-13T20:16:55.012925+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-13T20:17:55.267349+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-13T20:18:31.002390+00:00 | Fever Dream | Alex Warren | source:amperwave-api
2026-04-13T20:19:06.622733+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-13T20:19:45.523765+00:00 | Yukon | Justin Bieber | source:amperwave-api
2026-04-13T20:20:20.766328+00:00 | Yukon | Justin Bieber | source:amperwave-api
