2026-04-18T13:12:29.973721+00:00 | My Best Friends Girl | Cars | source:amperwave-api
2026-04-18T13:13:07.137121+00:00 | My Best Friends Girl | Cars | source:amperwave-api
2026-04-18T13:13:44.433080+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:14:20.435676+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:14:57.765812+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:15:39.315055+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:16:15.418695+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:16:51.937689+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:17:48.052573+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:18:23.516790+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:19:00.571706+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:19:47.010407+00:00 | Wherever I May Roam | Metallica | source:amperwave-api
2026-04-18T13:20:23.233069+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-18T13:21:01.023369+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-18T13:22:04.787282+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-18T13:22:42.302952+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-18T13:23:18.737171+00:00 | Baby Hold On | Eddie Money | source:amperwave-api
2026-04-18T13:24:11.047195+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:24:48.143588+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:25:24.515951+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:26:09.318116+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:26:46.799814+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:27:24.034859+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:27:59.859360+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:28:36.171588+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:29:12.465748+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:29:49.683581+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:30:26.448174+00:00 | Behind Blue Eyes | Who | source:amperwave-api
2026-04-18T13:31:04.695050+00:00 | Behind Blue Eyes | Who | source:amperwave-api
