2026-04-12T15:52:18.971573+00:00 | Every Little Thing She Does Is Magic | Police | source:amperwave-api
2026-04-12T15:52:54.377905+00:00 | Every Little Thing She Does Is Magic | Police | source:amperwave-api
2026-04-12T15:53:28.690323+00:00 | Every Little Thing She Does Is Magic | Police | source:amperwave-api
2026-04-12T15:54:02.568027+00:00 | Every Little Thing She Does Is Magic | Police | source:amperwave-api
2026-04-12T15:54:35.614866+00:00 | Every Little Thing She Does Is Magic | Police | source:amperwave-api
2026-04-12T15:55:09.712394+00:00 | Every Little Thing She Does Is Magic | Police | source:amperwave-api
2026-04-12T15:55:43.292247+00:00 | Ready For Love | Bad Company | source:amperwave-api
2026-04-12T15:56:16.877566+00:00 | Ready For Love | Bad Company | source:amperwave-api
2026-04-12T15:56:50.575397+00:00 | Ready For Love | Bad Company | source:amperwave-api
2026-04-12T15:57:24.938629+00:00 | Ready For Love | Bad Company | source:amperwave-api
2026-04-12T15:57:58.989408+00:00 | Ready For Love | Bad Company | source:amperwave-api
2026-04-12T15:58:33.292347+00:00 | Ready For Love | Bad Company | source:amperwave-api
2026-04-12T15:59:07.271399+00:00 | Ready For Love | Bad Company | source:amperwave-api
2026-04-12T15:59:41.307204+00:00 | Ready For Love | Bad Company | source:amperwave-api
2026-04-12T16:00:30.621202+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-12T16:01:05.725167+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-12T16:01:44.952879+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-12T16:02:19.360441+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-12T16:02:55.006175+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-12T16:03:49.648013+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-12T16:04:23.484279+00:00 | Back In The Saddle | Aerosmith | source:amperwave-api
2026-04-12T16:04:57.393991+00:00 | All Night Long | Joe Walsh | source:amperwave-api
